id,score
7462,0.9992117688834464
2446,0.9984523503017962
4711,0.9983787872319342
4294,0.9983042582540658
12443,0.9982600101852419
13375,0.9981577560105647
102,0.9977551605356462
2824,0.9972083640507304
17358,0.9971874403260467
18764,0.9970584680641514
17442,0.9969639429287497
3273,0.9968587467695936
4964,0.9968065026629201
10816,0.9967813319537918
8703,0.9967386222473469
9410,0.9967187700464519
6801,0.9967072898304182
19899,0.996675467532045
14346,0.9963829451751417
6014,0.9962525095151363
895,0.9962329901042966
14908,0.9961931221240372
16055,0.9960218218637669
10853,0.9958480161694453
9301,0.9958476994696759
9047,0.9957567895614157
19560,0.9957252916135064
16169,0.9956982485924135
4243,0.9955275795122775
12337,0.9955132904305473
19562,0.9953926558681574
1211,0.9952094362009843
7798,0.9951184793752416
3213,0.9950689413703648
4585,0.995057387003953
1989,0.9950500741981787
3160,0.9950394962953307
2757,0.9949865482734161
72,0.9949795697250757
6555,0.9949683854248604
12054,0.9949395987868608
3645,0.994882631560912
8023,0.994800516195578
18609,0.9947957439814973
2015,0.9945918684997871
5389,0.9944778432414948
12630,0.9944383177910617
14186,0.9943696145789939
13366,0.9943429000958266
19493,0.9943237578344496
17201,0.9941837762993324
5338,0.994183744980462
17275,0.9941539929396397
6475,0.9941421757649179
3971,0.9940767786591482
12791,0.9940664266802441
5373,0.9940046921507022
16043,0.9938513096196705
17038,0.9935573301305878
8910,0.9935426648318163
431,0.9935261833847763
6787,0.9934975876249256
14488,0.9933662236227125
19907,0.9933587498318925
1967,0.993334482872577
9621,0.9931904681505215
14758,0.9931316147528724
16351,0.993096234600855
4301,0.9929936456792757
16630,0.9928455435016049
16154,0.9928429165957736
15414,0.9926537722688689
1981,0.9926383714435988
5933,0.9924772927412112
16655,0.9923766927593437
12340,0.9922669858573974
13010,0.9922032217965645
6436,0.9921041964762547
14811,0.9919392609704836
17051,0.9917819549789197
13309,0.9917632674217262
19500,0.9917608694338388
6914,0.9917212626553712
18875,0.9917031843849013
5473,0.9916850656376378
3796,0.9916840813554724
3605,0.9916395179618579
16147,0.9916374865997978
1250,0.9916316031439601
2310,0.9915972691704046
12887,0.9850826237757018
5742,0.9850615913600761
197,0.9849837868394801
3321,0.9849445731118744
19765,0.9849355719756973
17611,0.9849273040770591
3876,0.9848795910246626
3606,0.9848237926893337
4718,0.9848222629610404
16286,0.9848091710897662
3128,0.9847814440412836
17851,0.9847239253356891
